21-09-2025 /  *** - ** - ***
25-12-2025 /  238 - 32 - 200
26-12-2025 /  260 - 84 - 789
27-12-2025 /  477 - 82 - 390
28-12-2025 /  *** - ** - ***
29-12-2025 /  899 - 60 - 136
30-12-2025 /  168 - 57 - 359
31-12-2025 /  445 - 36 - 240
01-01-2026 /  180 - 94 - 167
02-01-2026 /  267 - 52 - 200
03-01-2026 /  880 - 68 - 378
04-01-2026 /  *** - ** - ***
05-01-2026 /  235 - 04 - 248
06-01-2026 /  338 - 46 - 600
07-01-2026 /  367 - 65 - 168
08-01-2026 /  488 - 04 - 158
09-01-2026 /  145 - 04 - 770
10-01-2026 /  278 - 74 - 680
11-01-2026 /  *** - ** - ***
12-01-2026 /  278 - 77 - 250
13-01-2026 /  249 - 51 - 678
14-01-2026 /  578 - 04 - 149
15-01-2026 /  346 - 34 - 167
16-01-2026 /  168 - 55 - 366
17-01-2026 /  130 - 42 - 390
18-01-2026 /  *** - ** - ***
19-01-2026 /  135 - 02 - 156
20-01-2026 /  670 - 39 - 135
21-01-2026 /  334 - 06 - 150
22-01-2026 /  790 - 67 - 124
23-01-2026 /  457 - 69 - 126
24-01-2026 /  348 - 54 - 149
25-01-2026 /  *** - ** - ***
26-01-2026 /  *** - ** - ***
27-01-2026 /  250 - 76 - 600
28-01-2026 /  348 - 59 - 234
29-01-2026 /  788 - 35 - 159
30-01-2026 /  146 - 12 - 778
31-01-2026 /  700 - 70 - 235
01-02-2026 /  *** - ** - ***
02-02-2026 /  379 - 91 - 489
03-02-2026 /  188 - 78 - 378
04-02-2026 /  279 - 82 - 138
05-02-2026 /  147 - 20 - 145
06-02-2026 /  456 - 54 - 789
07-02-2026 /  259 - 65 - 267
08-02-2026 /  *** - ** - ***
09-02-2026 /  458 - 77 - 250
10-02-2026 /  479 - 00 - 244
11-02-2026 /  788 - 36 - 457
12-02-2026 /  147 - 25 - 113
13-02-2026 /  260 - 88 - 378
14-02-2026 /  156 - 27 - 269
15-02-2026 /  *** - ** - ***
16-02-2026 /  270 - 94 - 789
17-02-2026 /  670 - 31 - 380
18-02-2026 /  230 - 55 - 690
19-02-2026 /  130 - 49 - 199
20-02-2026 /  678 - 18 - 350
21-02-2026 /  146 - 15 - 357
22-02-2026 /  *** - ** - ***
23-02-2026 /  577 - 97 - 700
24-02-2026 /  699 - 49 - 469
25-02-2026 /  250 - 71 - 489
26-02-2026 /  146 - 17 - 223
27-02-2026 /  588 - 12 - 589
28-02-2026 /  148 - 33 - 689
01-03-2026 /  *** - ** - ***
02-03-2026 /  137 - 13 - 148
03-03-2026 /  289 - 94 - 680
04-03-2026 /  *** - ** - ***
05-03-2026 /  234 - 90 - 578
06-03-2026 /  140 - 56 - 123
07-03-2026 /  150 - 63 - 670
08-03-2026 /  *** - ** - ***
09-03-2026 /  890 - 70 - 127
10-03-2026 /  129 - 21 - 100
11-03-2026 /  445 - 30 - 370
12-03-2026 /  260 - 88 - 134
13-03-2026 /  335 - 15 - 230
14-03-2026 /  357 - 54 - 248
15-03-2026 /  *** - ** - ***
16-03-2026 /  249 - 58 - 224
17-03-2026 /  588 - 13 - 256
18-03-2026 /  368 - 72 - 480
19-03-2026 /  589 - 25 - 177
20-03-2026 /  578 - 06 - 457
21-03-2026 /  189 - 82 - 156
22-03-2026 /  *** - ** - ***
23-03-2026 /  399 - 17 - 278
24-03-2026 /  357 - 59 - 577
25-03-2026 /  112 - 42 - 589
26-03-2026 /  889 - 51 - 678
