15-08-2025 /  *** - ** - ***
07-11-2025 /  788 - 31 - 344
08-11-2025 /  568 - 91 - 146
09-11-2025 /  380 - 12 - 480
10-11-2025 /  125 - 87 - 160
11-11-2025 /  138 - 22 - 679
12-11-2025 /  589 - 21 - 678
13-11-2025 /  399 - 17 - 250
14-11-2025 /  359 - 77 - 179
15-11-2025 /  270 - 91 - 489
16-11-2025 /  467 - 72 - 237
17-11-2025 /  459 - 81 - 245
18-11-2025 /  347 - 47 - 890
19-11-2025 /  356 - 45 - 168
20-11-2025 /  338 - 42 - 679
21-11-2025 /  139 - 35 - 456
22-11-2025 /  477 - 81 - 579
23-11-2025 /  369 - 89 - 180
24-11-2025 /  390 - 22 - 480
25-11-2025 /  280 - 01 - 344
26-11-2025 /  339 - 50 - 280
27-11-2025 /  237 - 22 - 336
28-11-2025 /  230 - 59 - 270
29-11-2025 /  278 - 78 - 468
30-11-2025 /  140 - 52 - 156
01-12-2025 /  566 - 79 - 360
02-12-2025 /  128 - 11 - 489
03-12-2025 /  138 - 22 - 570
04-12-2020 /  245 - 19 - 478
05-12-2025 /  189 - 84 - 167
06-12-2025 /  670 - 30 - 145
07-12-2025 /  579 - 14 - 347
08-12-2025 /  689 - 30 - 677
09-12-2025 /  557 - 79 - 126
10-12-2025 /  120 - 34 - 789
11-12-2025 /  489 - 13 - 599
12-12-2025 /  167 - 46 - 880
13-12-2025 /  569 - 04 - 446
14-12-2025 /  559 - 92 - 688
15-12-2025 /  145 - 08 - 233
16-12-2025 /  157 - 37 - 449
17-12-2025 /  266 - 40 - 370
18-12-2025 /  367 - 60 - 389
19-12-2025 /  779 - 37 - 458
20-12-2025 /  347 - 47 - 160
21-12-2025 /  568 - 98 - 279
22-12-2025 /  244 - 05 - 267
23-12-2025 /  170 - 83 - 256
24-12-2025 /  280 - 09 - 234
25-12-2025 /  147 - 28 - 459
26-12-2025 /  268 - 66 - 790
27-12-2025 /  129 - 23 - 157
28-12-2025 /  358 - 62 - 156
29-12-2025 /  460 - 09 - 289
30-12-2025 /  450 - 92 - 246
31-12-2025 /  189 - 83 - 689
01-01-2026 /  155 - 14 - 680
02-01-2026 /  299 - 00 - 479
03-01-2026 /  250 - 78 - 170
04-01-2026 /  134 - 89 - 450
05-01-2026 /  378 - 89 - 469
06-01-2026 /  349 - 66 - 367
07-01-2026 /  280 - 08 - 468
08-01-2026 /  457 - 67 - 269
09-01-2026 /  458 - 70 - 479
10-01-2026 /  590 - 46 - 259
11-01-2026 /  279 - 85 - 168
12-01-2026 /  779 - 31 - 579
13-01-2026 /  457 - 60 - 226
14-01-2026 /  257 - 48 - 468
15-01-2026 /  479 - 01 - 146
16-01-2026 /  149 - 48 - 288
17-01-2026 /  256 - 30 - 488
18-01-2026 /  267 - 57 - 124
19-01-2026 /  133 - 71 - 245
20-01-2026 /  158 - 45 - 177
21-01-2026 /  146 - 11 - 335
22-01-2026 /  358 - 61 - 137
23-01-2026 /  259 - 61 - 380
24-01-2026 /  356 - 43 - 139
25-01-2025 /  149 - 48 - 170
26-01-2026 /  *** - ** - ***
27-01-2026 /  567 - 85 - 249
28-01-2026 /  490 - 36 - 899
29-01-2026 /  130 - 43 - 788
30-01-2026 /  789 - 45 - 357
31-01-2026 /  126 - 90 - 569
01-02-2026 /  577 - 96 - 268
02-02-2026 /  *** - ** - *** 
03-02-2026 /  440 - 88 - 567
04-02-2026 /  356 - 45 - 140
05-02-2026 /  349 - 66 - 123
06-02-2026 /  388 - 90 - 280
07-02-2026 /  149 - 41 - 489
08-02-2026 /  134 - 83 - 247
09-02-2026 /  268 - 63 - 670
10-02-2026 /  889 - 63 - 157
11-02-2026 /  380 - 14 - 400
12-02-2026 /  188 - 73 - 670
13-02-2026 /  778 - 21 - 155
14-02-2026 /  688 - 21 - 380
15-02-2026 /  348 - 58 - 378
16-02-2026 /  340 - 74 - 455
17-02-2026 /  668 - 07 - 133
18-02-2026 /  569 - 09 - 577
19-02-2026 /  660 - 25 - 690
20-02-2026 /  478 - 92 - 679
21-02-2026 /  558 - 87 - 458
22-02-2026 /  356 - 42 - 129
23-02-2026 /  359 - 72 - 679
24-02-2026 /  146 - 13 - 256
25-02-2026 /  389 - 04 - 680
26-02-2026 /  258 - 58 - 170
27-02-2026 /  180 - 99 - 360
28-02-2026 /  145 - 07 - 160
01-03-2026 /  230 - 56 - 349
02-03-2026 /  167 - 49 - 234
03-03-2026 /  125 - 84 - 770
04-03-2026 /  *** - ** - ***
05-03-2025 /  150 - 65 - 168
06-03-2025 /  380 - 14 - 239
07-03-2025 /  169 - 62 - 156
08-03-2026 /  130 - 42 - 246
09-03-2026 /  457 - 60 - 578
10-03-2026 /  180 - 90 - 389
11-03-2026 /  378 - 89 - 126
12-03-2026 /  138 - 24 - 167
13-03-2026 /  459 - 88 - 350
14-03-2026 /  279 - 89 - 450
15-03-2026 /  150 - 62 - 390
16-03-2026 /  480 - 23 - 490
17-03-2026 /  156 - 25 - 267
18-03-2026 /  348 - 56 - 457
19-03-2026 /  780 - 59 - 568
20-03-2026 /  557 - 71 - 489
21-03-2026 /  578 - 04 - 266
22-03-2026 /  145 - 09 - 568
23-03-2026 /  138 - 23 - 445
24-03-2026 /  118 - 03 - 689
